縣市,遷入,遷出
基隆市,18182,16720
新北市,187192,167408
臺北市,123676,142081
桃園市,115266,95040
新竹市,21457,20748
新竹縣,27237,21157
苗栗縣,18993,17382
臺中市,151561,132412
南投縣,14364,16161
彰化縣,33425,43950
雲林縣,22556,22382
嘉義縣,14958,16517
嘉義市,11082,11200
臺南市,79472,72429
高雄市,123514,120185
屏東縣,27790,28692
宜蘭縣,22071,20732
花蓮縣,14013,14190
臺東縣,7254,7611
澎湖縣,5636,5214
金門縣,7157,7493
連江縣,1068,1191
